author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;year_of_construction;kitchen_meters;district;street;house_number;underground
КУБАНЬ РИЕЛТ;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307892487/;Краснодар;rent;flat;7;25;4;110;110000;0;2022;38;мкр. ХБК;Сормовская ;01.июн;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/213695355/;Краснодар;rent;flat;10;18;4;140;110000;0;2012;-1;Солнечный мкр; Памяти Чернобыльцев;;
ID 98612980;homeowner;https://krasnodar.cian.ru/rent/flat/282088572/;Краснодар;rent;flat;9;10;4;120;60000;0;1996;15;мкр. Центральный; Одесская;8;
Премиальная Недвижимость;real_estate_agent;https://krasnodar.cian.ru/rent/flat/297280953/;Краснодар;rent;flat;9;15;4;170;250000;0;2007;35;мкр. Центральный; Гимназическая;30;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/274928019/;Краснодар;rent;flat;9;24;4;140;120000;0;2013;-1;;;;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307899959/;Краснодар;rent;flat;5;5;4;87;59000;0;1978;-1;Центральный; Митрофана Седина;206;
Инна Филатова;realtor;https://krasnodar.cian.ru/rent/flat/307590385/;Краснодар;rent;flat;10;24;4;135;170000;0;2015;35;мкр. Центральный; Буденного;129;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/294014914/;Краснодар;rent;flat;7;16;4;220;140000;0;2012;-1;Центральный; Красноармейская;;
Capital Mars;real_estate_agent;https://krasnodar.cian.ru/rent/flat/308007247/;Краснодар;rent;flat;4;10;4;135;60000;0;2003;15;мкр. Табачная фабрика;Дербентская ;57/49;
Юлия Смирнова;realtor;https://krasnodar.cian.ru/rent/flat/292576617/;Краснодар;rent;flat;12;16;4;231;250000;0;2006;20;мкр. Центральный; Комсомольская;4;
Премиальная Недвижимость;real_estate_agent;https://krasnodar.cian.ru/rent/flat/296154216/;Краснодар;rent;flat;10;15;4;170;250000;0;2008;30;мкр. Центральный; Гимназическая;30;
ID 112036352;homeowner;https://krasnodar.cian.ru/rent/flat/302860011/;Краснодар;rent;flat;14;18;4;102.3;80000;0;2013;20;мкр. Кожзавод; Володи Головатого;172;
Аренда ЭТАЖИ-Краснодар;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307879640/;Краснодар;rent;flat;7;13;4;127.2;110000;0;2002;25;Центральный; Володи Головатого;302;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/304828044/;Краснодар;rent;flat;8;16;4;130;85000;0;2007;-1;мкр. Центральный; Кубанская Набережная;19;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307922095/;Краснодар;rent;flat;1;2;4;121;76000;0;-1;-1;Прикубанский;бульвар Греческий;1к105;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/303444646/;Краснодар;rent;flat;15;25;4;110;120000;0;2012;20;мкр. Кожзавод; Кожевенная;26;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/261915940/;Краснодар;rent;flat;18;24;4;168;170000;0;2018;-1;Западный;Дальняя ;8к1;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/307588872/;Краснодар;rent;flat;15;24;4;110;170000;0;2015;-1;мкр. Центральный; Буденного;129;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/306481608/;Краснодар;rent;flat;12;13;4;140;120000;0;2005;-1;мкр. Фестивальный; Архитектора Ишунина;8;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/299193758/;Краснодар;rent;flat;11;15;4;180;180000;0;2007;-1;мкр. Центральный; Гимназическая;30;
ID 92456347;realtor;https://krasnodar.cian.ru/rent/flat/303266458/;Краснодар;rent;flat;7;11;4;272.2;210000;0;1996;32;мкр. Аврора; Шоссе Нефтяников;09.янв;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307341596/;Краснодар;rent;flat;7;9;4;273;220500;0;-1;-1;мкр. Аврора; Шоссе Нефтяников;09.янв;
ID 13033451;realtor;https://krasnodar.cian.ru/rent/flat/304666611/;Краснодар;rent;flat;7;11;4;272.5;210000;0;1996;-1;мкр. Аврора; Шоссе Нефтяников;09.янв;
ID 52263468;homeowner;https://krasnodar.cian.ru/rent/flat/307305124/;Краснодар;rent;flat;8;16;2;54;38000;0;2023;15;Прикубанский; Имени Героя Ростовского;8к4;
ID 72611184;homeowner;https://krasnodar.cian.ru/rent/flat/307874632/;Краснодар;rent;flat;8;9;2;50;43000;0;1978;-1;Центральный; Янковского;149;
Заира Карамурзина;realtor;https://krasnodar.cian.ru/rent/flat/303647085/;Краснодар;rent;flat;7;11;5;272;210000;0;1996;38;мкр. Аврора; Шоссе Нефтяников;09.янв;
Аренда ЭТАЖИ-Краснодар;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307972956/;Краснодар;rent;flat;21;22;5;236.5;500000;0;2014;25;мкр. Школьный; Филатова;19;
Capital Mars;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307935166/;Краснодар;rent;flat;12;16;5;216;185000;0;2011;22;мкр. Покровка; Промышленная;49/1;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/237410019/;Краснодар;rent;flat;12;16;5;200;150000;0;2011;-1;мкр. Покровка; Промышленная;49/1;
