author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;year_of_construction;kitchen_meters;district;street;house_number;underground
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/306573228/;Краснодар;rent;flat;20;24;2;64;42000;0;2018;-1;Прикубанский; Домбайская;61;
ID 98757363;homeowner;https://krasnodar.cian.ru/rent/flat/308097582/;Краснодар;rent;flat;15;17;2;67;50000;0;-1;-1;Прикубанский; Западный обход;65/2;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/199200488/;Краснодар;rent;flat;10;24;2;60;60000;0;2016;-1;Центральный;Красная ;176лит1;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/306972029/;Краснодар;rent;flat;13;18;2;64;65000;0;2018;-1;мкр. Панорама; Им. Героя Сарабеева В.И.;5к3;
ID 86735455;homeowner;https://krasnodar.cian.ru/rent/flat/306279471/;Краснодар;rent;flat;13;19;2;55;45000;0;2020;11;Прикубанский; Имени Героя Николая Шевелева;7;
ID 12884755;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307806502/;Краснодар;rent;flat;3;16;2;60;40000;0;2012;-1;мкр. Московский; Имени Николая Семеновича Котлярова;19;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/288248683/;Краснодар;rent;flat;8;26;2;70;130000;0;2018;-1;мкр. Фестивальный; Совхозная;1к6;
ID 12240819;homeowner;https://krasnodar.cian.ru/rent/flat/307460218/;Краснодар;rent;flat;8;25;2;53;44000;0;2020;13;мкр. Черемушки;Новороссийская ;90/2к2;
Девел-Риэлт;real_estate_agent;https://krasnodar.cian.ru/rent/flat/288589515/;Краснодар;rent;flat;10;26;2;45;55000;0;2016;-1;Центральный;Красная ;176;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/279682593/;Краснодар;rent;flat;7;24;2;70;80000;0;2017;16;мкр. Центральный; Кубанская Набережная;39;
ID 99607802;homeowner;https://krasnodar.cian.ru/rent/flat/294620158/;Краснодар;rent;flat;9;10;2;65;35000;0;2018;-1;Прикубанский; Командорская;01.мар;
Аренда ЭТАЖИ-Краснодар;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307510959/;Краснодар;rent;flat;9;9;2;57;34000;0;2015;18;Имени Петра Метальникова мкр; Петра Метальникова;13;
Ирина Баняс;realtor;https://krasnodar.cian.ru/rent/flat/307257149/;Краснодар;rent;flat;11;18;2;77;100000;0;2018;15;мкр. Панорама; Им. Героя Сарабеева В.И.;5к3;
ID 114561228;homeowner;https://krasnodar.cian.ru/rent/flat/306523986/;Краснодар;rent;flat;2;5;2;41.5;50000;0;1962;-1;мкр. Черемушки;Ставропольская ;133/1;
ID 12857715;unknown;https://krasnodar.cian.ru/rent/flat/307095768/;Краснодар;rent;flat;9;17;2;40.5;42000;0;2022;6;Прикубанский; Имени Героя Ростовского;8к2;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307896963/;Краснодар;rent;flat;1;6;2;64;54500;0;2011;-1;мкр. Немецкая Деревня; Карлсруэвская;12;
ID 64529515;unknown;https://krasnodar.cian.ru/rent/flat/307912777/;Краснодар;rent;flat;4;9;2;56;35000;0;2020;-1;Прикубанский; Летчика Позднякова;2к9;
Девел-Риэлт;real_estate_agent;https://krasnodar.cian.ru/rent/flat/282844349/;Краснодар;rent;flat;12;25;2;70;90000;0;2017;-1;мкр. Фестивальный; Совхозная;1к3;
ID 120652291;realtor;https://krasnodar.cian.ru/rent/flat/307711490/;Краснодар;rent;flat;11;23;2;90;60000;0;2012;-1;мкр. Кожзавод; Кожевенная;24;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/271544013/;Краснодар;rent;flat;9;24;2;79;100000;0;2017;19;мкр. Центральный; Кубанская Набережная;39;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/289007143/;Краснодар;rent;flat;11;16;2;90;70000;0;2007;15;мкр. Центральный; Кубанская Набережная;19;
ID 92984516;homeowner;https://krasnodar.cian.ru/rent/flat/300509177/;Краснодар;rent;flat;16;22;2;53.2;45000;0;2021;18;Прикубанский; Конгрессная;33;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/293360206/;Краснодар;rent;flat;10;16;2;82;150000;0;2021;19;мкр. Центральный; Имени П.М. Гаврилова;88;
ID 76237945;unknown;https://krasnodar.cian.ru/rent/flat/305584009/;Краснодар;rent;flat;5;16;2;67;60000;0;2016;-1;мкр. Центральный; Октябрьская;181/2;
ID 120652291;realtor;https://krasnodar.cian.ru/rent/flat/306150448/;Краснодар;rent;flat;14;19;2;70;70000;0;-1;-1;Центральный; Коммунаров;268;
Девел-Риэлт;real_estate_agent;https://krasnodar.cian.ru/rent/flat/265299849/;Краснодар;rent;flat;9;22;2;97;80000;0;2009;-1;мкр. Центральный; Кубанская Набережная;37К10;
Kvartall;real_estate_agent;https://krasnodar.cian.ru/rent/flat/280288809/;Краснодар;rent;flat;20;25;2;70;60000;0;2017;15;мкр. Фестивальный; Совхозная;1к3;
ID 87041287;homeowner;https://krasnodar.cian.ru/rent/flat/306234810/;Краснодар;rent;flat;5;19;2;47;40000;0;2023;9.1;Прикубанский; Западный обход;45к6;
КАЯН - Отдел аренды жилой недвижимости;real_estate_agent;https://krasnodar.cian.ru/rent/flat/290910449/;Краснодар;rent;flat;8;16;2;72;55000;0;2008;16;мкр. Центральный; Постовая;23;
Девел-Риэлт;real_estate_agent;https://krasnodar.cian.ru/rent/flat/265859292/;Краснодар;rent;flat;11;16;2;120;100000;0;2014;-1;мкр. Аврора; Дзержинского;93;
ID 102665481;homeowner;https://krasnodar.cian.ru/rent/flat/307592890/;Краснодар;rent;flat;3;6;2;56;26000;0;2012;-1;Музыкальный мкр; Имени Сергея Есенина;82;
Евгений Певицын;realtor;https://krasnodar.cian.ru/rent/flat/308176991/;Краснодар;rent;flat;18;19;1;25;25000;0;2018;5;Прикубанский; Имени 40-летия Победы;184к3;
ID 119484818;homeowner;https://krasnodar.cian.ru/rent/flat/305031550/;Краснодар;rent;flat;7;17;1;25.1;26000;0;2022;4;Прикубанский; Западный обход;57к3;
ID 120890837;homeowner;https://krasnodar.cian.ru/rent/flat/307890220/;Краснодар;rent;flat;2;6;1;26;15000;0;-1;-1;Прикубанский; Им. Сорока А.М.;2;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/305659286/;Краснодар;rent;flat;12;24;1;110;230000;0;2015;-1;мкр. Центральный; Буденного;;
Инна Рудова;realtor;https://krasnodar.cian.ru/rent/flat/308024020/;Краснодар;rent;flat;4;16;1;25.4;22000;0;2023;4;Прикубанский; Генерал-лейтенанта Александра Сапрунова;37к1;
ID 97152339;homeowner;https://krasnodar.cian.ru/rent/flat/300336668/;Краснодар;rent;flat;3;3;1;21;14000;0;2016;18;Прикубанский; Измаильская;74к7;
ID 66983530;unknown;https://krasnodar.cian.ru/rent/flat/307825721/;Краснодар;rent;flat;2;21;1;23;32000;0;2016;5;мкр. Центральный; Октябрьская;181/2;
ID 66983530;unknown;https://krasnodar.cian.ru/rent/flat/307650238/;Краснодар;rent;flat;2;21;1;26;32000;0;2018;6;мкр. Центральный; Октябрьская;181/2к3;
ID 95946345;homeowner;https://krasnodar.cian.ru/rent/flat/308052936/;Краснодар;rent;flat;3;17;1;24;20000;0;2022;-1;Прикубанский; Западный обход;57к3;
ID 91320837;realtor;https://krasnodar.cian.ru/rent/flat/299383223/;Краснодар;rent;flat;10;15;1;25;20000;0;2019;-1;мкр. Славянский; Заполярная;37к2;
ID 19839344;unknown;https://krasnodar.cian.ru/rent/flat/302630824/;Краснодар;rent;flat;1;4;1;20;30000;0;2017;5;мкр. Фестивальный; Сергея Михалева;2А;
Анна Ноздрачева;realtor;https://krasnodar.cian.ru/rent/flat/308038301/;Краснодар;rent;flat;3;7;1;30;16000;0;2016;9;Прикубанский; Душистая;50;
Инна Рудова;realtor;https://krasnodar.cian.ru/rent/flat/308023405/;Краснодар;rent;flat;10;16;1;22;22000;0;2022;4;Прикубанский; Ивана Беличенко;85;
ID 84835859;unknown;https://krasnodar.cian.ru/rent/flat/308024431/;Краснодар;rent;flat;12;22;1;25;20000;0;2021;14;Прикубанский; Им. Героя Яцкова И.В.;19к1;
ID 116141029;homeowner;https://krasnodar.cian.ru/rent/flat/307567257/;Краснодар;rent;flat;11;16;1;30;23000;0;2023;11;Прикубанский; Имени Героя Николая Шевелева;17;
ID 85119617;homeowner;https://krasnodar.cian.ru/rent/flat/307410639/;Краснодар;rent;flat;17;18;1;21;25000;0;2017;6;мкр. Черемушки; Селезнева;4/15к2;
ID 87005788;homeowner;https://krasnodar.cian.ru/rent/flat/307602170/;Краснодар;rent;flat;3;20;1;20;20000;0;2021;-1;мкр. РИП;Тепличная ;62/1к3;
Лариса Южина;realtor;https://krasnodar.cian.ru/rent/flat/308062329/;Краснодар;rent;flat;2;3;1;20;14000;0;2019;5;Прикубанский; Измаильская;80к2;
ID 102899291;homeowner;https://krasnodar.cian.ru/rent/flat/307635945/;Краснодар;rent;flat;6;19;1;23;21000;0;2022;15;мкр. Славянский; Красных Партизан;1/4к16;
ID 37058673;homeowner;https://krasnodar.cian.ru/rent/flat/308180428/;Краснодар;rent;flat;11;17;1;21;18000;0;2023;-1;Прикубанский; Ивана Беличенко;90;
ID 107104136;homeowner;https://krasnodar.cian.ru/rent/flat/292593636/;Краснодар;rent;flat;4;17;1;19.6;13000;0;2021;5;Прикубанский; Западный обход;39/2к3;
ID 115005787;homeowner;https://krasnodar.cian.ru/rent/flat/307963176/;Краснодар;rent;flat;22;24;1;29;30000;0;2022;-1;мкр. Пашковский; Имени В.Н. Мачуги;166Ак2;
ID 108914456;homeowner;https://krasnodar.cian.ru/rent/flat/308074640/;Краснодар;rent;flat;15;16;1;27;35000;0;2020;7;мкр. Восточно-Кругликовский; Героя Владислава Посадского;49;
Арсен Шуманов;realtor;https://krasnodar.cian.ru/rent/flat/271170828/;Краснодар;rent;flat;7;25;1;33;25000;0;2021;-1;мкр. ХБК;Уральская ;71к2;
ID 49000819;homeowner;https://krasnodar.cian.ru/rent/flat/300280270/;Краснодар;rent;flat;6;17;1;27;20000;0;2023;-1;Прикубанский; Ивана Беличенко;101;
Лариса Южина;realtor;https://krasnodar.cian.ru/rent/flat/307721172/;Краснодар;rent;flat;7;16;1;25;15000;0;2022;5;Прикубанский; Имени Героя Советского Союза Дмитрия Мирошниченко;43;
Евгения Петренко;realtor;https://krasnodar.cian.ru/rent/flat/308054920/;Краснодар;rent;flat;16;18;1;20;19500;0;2021;-1;Прикубанский; Конгрессная;33;
Людмила Манько;realtor;https://krasnodar.cian.ru/rent/flat/303788386/;Краснодар;rent;flat;7;17;1;31.8;24000;0;2021;5;Прикубанский; Героя Владислава Посадского;22;
Антон Шельдешев;realtor;https://krasnodar.cian.ru/rent/flat/307552986/;Краснодар;rent;flat;3;8;1;23.25;19000;0;2021;-1;мкр. Славянский; Красных Партизан;1/4к22;
Юлия Пятибратова;realtor;https://krasnodar.cian.ru/rent/flat/308094953/;Краснодар;rent;flat;2;17;1;26;20000;0;2018;4;мкр. Московский; Им. Артюшкова В.Д.;27;
Светлана Савченко;realtor;https://krasnodar.cian.ru/rent/flat/308065436/;Краснодар;rent;flat;1;17;1;26;20000;0;2020;20;мкр. Славянский; Заполярная;37к5;
Лариса Южина;realtor;https://krasnodar.cian.ru/rent/flat/307973198/;Краснодар;rent;flat;15;16;1;30;20000;0;2020;5;мкр. Восточно-Кругликовский; Героя Владислава Посадского;42;
ID 49016875;homeowner;https://krasnodar.cian.ru/rent/flat/307855805/;Краснодар;rent;flat;1;17;1;30;20000;0;2021;2;Прикубанский; Имени Героя Советского Союза Якова Кобзаря;2;
Ольга Мустаева;realtor;https://krasnodar.cian.ru/rent/flat/306511827/;Краснодар;rent;flat;2;17;1;30;25000;0;2024;-1;Прикубанский; Наставников;14;
Лариса Южина;realtor;https://krasnodar.cian.ru/rent/flat/307004401/;Краснодар;rent;flat;13;16;1;26;17000;0;2020;5;мкр. Восточно-Кругликовский; Героя Владислава Посадского;49;
Андрей Щербаков;realtor;https://krasnodar.cian.ru/rent/flat/279476622/;Краснодар;rent;flat;1;3;1;20;24000;0;-1;4;Западный;проезд Красных Партизан;3;
Лариса Южина;realtor;https://krasnodar.cian.ru/rent/flat/307680374/;Краснодар;rent;flat;16;20;1;30;18000;0;-1;5;Прикубанский; Адмирала Серебрякова;3к1;
Валерия Дубовицкая;realtor;https://krasnodar.cian.ru/rent/flat/297116945/;Краснодар;rent;flat;3;16;1;22;23000;0;2022;-1;Прикубанский; Константина Гондаря;103;
ID 93468678;homeowner;https://krasnodar.cian.ru/rent/flat/308066604/;Краснодар;rent;flat;10;14;1;27;20000;0;2020;23;Почтовый мкр;проспект Имени писателя Знаменского;29.янв;
Антон Шельдешев;realtor;https://krasnodar.cian.ru/rent/flat/307709917/;Краснодар;rent;flat;13;16;1;26.3;27000;0;2023;-1;Прикубанский; Ивана Беличенко;92;
Лариса Южина;realtor;https://krasnodar.cian.ru/rent/flat/307805475/;Краснодар;rent;flat;13;17;1;22.2;25000;0;2018;6;мкр. Панорама;Восточно-Кругликовская ;42/3к2;
ID 122172740;realtor;https://krasnodar.cian.ru/rent/flat/307780434/;Краснодар;rent;flat;1;17;1;25;18000;0;-1;5;мкр. ККБ;1 Мая ;188;
Антон Захаров;realtor;https://krasnodar.cian.ru/rent/flat/307064915/;Краснодар;rent;flat;8;18;1;28;25000;0;2019;4;Прикубанский; Командорская;09.фев;
Наталья Орешина;realtor;https://krasnodar.cian.ru/rent/flat/306658057/;Краснодар;rent;flat;9;17;1;22.8;20000;0;2020;3;мкр. Славянский; Заполярная;37к4;
АИНС;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307608317/;Краснодар;rent;flat;2;16;1;21;19000;0;2021;-1;Прикубанский; Западный обход;39/2к2;
Лариса Южина;realtor;https://krasnodar.cian.ru/rent/flat/307384862/;Краснодар;rent;flat;9;16;1;30;22000;0;2021;5;Прикубанский; Им. Героя Сарабеева В.И.;09.янв;
Лариса Южина;realtor;https://krasnodar.cian.ru/rent/flat/307805483/;Краснодар;rent;flat;4;17;1;26;25000;0;2020;5;мкр. ЗИП; Карякина;5к1;
Лариса Шишкина;realtor;https://krasnodar.cian.ru/rent/flat/307059033/;Краснодар;rent;flat;1;1;1;32;19000;0;-1;7;Камвольно-суконный Комбинат мкр; Продольная;32;
Светлана Чернявская;realtor;https://krasnodar.cian.ru/rent/flat/306748745/;Краснодар;rent;flat;1;1;1;30;20000;0;-1;6;Камвольно-суконный Комбинат мкр; Продольная;34;
Тамара Кучменко;realtor;https://krasnodar.cian.ru/rent/flat/189682868/;Краснодар;rent;flat;8;8;1;78.3;35000;0;2007;10;мкр. Фестивальный; Ивана Кияшко;4;
Девелопмент-Юг;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307272413/;Краснодар;rent;flat;6;9;1;21;20000;0;2024;-1;Прикубанский; Имени Генерала Корнилова;12к1;
;;https://krasnodar.cian.ru/rent/flat/306150634/;Краснодар;rent;flat;18;20;1;25;33000;0;2022;-1;Прикубанский; Героя Владислава Посадского;16.янв;
Татьяна Удачина;realtor;https://krasnodar.cian.ru/rent/flat/307506205/;Краснодар;rent;flat;11;24;1;30;7000;0;2021;-1;мкр. Славянский; Заполярная;39к6;
ID 117890245;homeowner;https://krasnodar.cian.ru/rent/flat/307243270/;Краснодар;rent;flat;3;9;1;23;20000;0;2021;-1;Прикубанский; Западный обход;39/2к7;
Лариса Южина;realtor;https://krasnodar.cian.ru/rent/flat/308003976/;Краснодар;rent;flat;9;17;1;30;28000;0;2021;5;мкр. Панорама; Героев-Разведчиков;6к4;
Антон Шельдешев;realtor;https://krasnodar.cian.ru/rent/flat/307710403/;Краснодар;rent;flat;16;16;1;30.7;30000;0;2023;-1;Прикубанский; Ивана Беличенко;90;
ID 99871637;unknown;https://krasnodar.cian.ru/rent/flat/307968225/;Краснодар;rent;flat;4;17;1;30;18000;0;2023;5;мкр. РИП; Имени Ф.И. Шаляпина;30/1к1;
Светлана Брежнева;realtor;https://krasnodar.cian.ru/rent/flat/307856669/;Краснодар;rent;flat;20;24;1;24.7;50000;0;2021;-1;Прикубанский; Конгрессная;31;
Олег Кривошеев;realtor;https://krasnodar.cian.ru/rent/flat/307821151/;Краснодар;rent;flat;19;23;1;30;30000;0;2020;10;мкр. ЗИП; Карякина;5к2;
ID 68086927;homeowner;https://krasnodar.cian.ru/rent/flat/307567638/;Краснодар;rent;flat;3;11;1;30;18000;0;2013;-1;Прикубанский; Митинская;21;
Лариса Южина;realtor;https://krasnodar.cian.ru/rent/flat/306364649/;Краснодар;rent;flat;15;22;1;30;25000;0;2022;5;Прикубанский; Имени Героя Георгия Бочарникова;4к1;
Евгения Орлова;realtor;https://krasnodar.cian.ru/rent/flat/304199464/;Краснодар;rent;flat;12;25;1;25;30000;0;-1;5;мкр. Гидростроителей; Автолюбителей;1Дк1;
ID 103129164;homeowner;https://krasnodar.cian.ru/rent/flat/307921855/;Краснодар;rent;flat;11;17;1;27.7;23000;0;2020;-1;мкр. Восточно-Кругликовский; Героя Владислава Посадского;42;
Валерия Дубовицкая;realtor;https://krasnodar.cian.ru/rent/flat/307826549/;Краснодар;rent;flat;14;24;1;26.1;29000;0;2022;-1;;;;
Лариса Шадрина;realtor;https://krasnodar.cian.ru/rent/flat/307315131/;Краснодар;rent;flat;1;17;1;25;30000;0;2020;6;Имени Петра Метальникова мкр; Тополиная;48;
ID 122518639;homeowner;https://krasnodar.cian.ru/rent/flat/308078518/;Краснодар;rent;flat;2;17;1;25;23000;0;2017;-1;мкр. РИП; Евгении Жигуленко;11.фев;
Ольга Мустаева;realtor;https://krasnodar.cian.ru/rent/flat/303421745/;Краснодар;rent;flat;8;22;1;30;27000;0;2022;-1;Прикубанский; Григория Булгакова;6;
Валентина Крымская;realtor;https://krasnodar.cian.ru/rent/flat/174390841/;Краснодар;rent;flat;6;22;1;56;55000;0;2013;-1;мкр. Центральный; Кубанская Набережная;;
ID 112024040;homeowner;https://krasnodar.cian.ru/rent/flat/297958773/;Краснодар;rent;flat;3;17;1;22.3;26000;0;2023;-1;Прикубанский; Ивана Беличенко;89;
Инна Инина;realtor;https://krasnodar.cian.ru/rent/flat/297296007/;Краснодар;rent;flat;10;25;1;40;50000;0;-1;10;Центральный;Красная ;;
Андрей Щербаков;realtor;https://krasnodar.cian.ru/rent/flat/279199286/;Краснодар;rent;flat;18;18;1;20;24000;0;2015;6;мкр. 9-й километр;проезд Репина;5;
ID 86496145;homeowner;https://krasnodar.cian.ru/rent/flat/307894727/;Краснодар;rent;flat;6;25;1;31;23000;0;2022;5;мкр. Гидростроителей; Автолюбителей;1Дк3;
Девелопмент-Юг;real_estate_agent;https://krasnodar.cian.ru/rent/flat/308066328/;Краснодар;rent;flat;2;14;1;24;17000;0;2019;-1;мкр. Славянский; Заполярная;37к2;
Ирина Баняс;realtor;https://krasnodar.cian.ru/rent/flat/305405646/;Краснодар;rent;flat;3;4;1;17.6;12000;0;2021;2.6;Прикубанский; Генерала Петрова;43/1;
ID 100008718;homeowner;https://krasnodar.cian.ru/rent/flat/292103403/;Краснодар;rent;flat;6;9;1;30;19000;0;2022;-1;Прикубанский; Античная;4;
Владис;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307878384/;Краснодар;rent;flat;3;9;1;24.5;19000;0;2020;6;Прикубанский; Западный обход;42/3к3;
Аренда ЭТАЖИ-Краснодар;real_estate_agent;https://krasnodar.cian.ru/rent/flat/308171260/;Краснодар;rent;flat;13;18;1;23;18000;0;2017;-1;Пашковский жилмассив; Лавочкина;23;
ID 84003556;homeowner;https://krasnodar.cian.ru/rent/flat/307079078/;Краснодар;rent;flat;4;9;1;30;25000;0;2022;4;Прикубанский; Античная;4;
Аренда ЭТАЖИ-Краснодар;real_estate_agent;https://krasnodar.cian.ru/rent/flat/308123653/;Краснодар;rent;flat;18;24;1;21.9;25000;0;2021;-1;Камвольно-суконный Комбинат мкр; Дежнева;29.мар;
Валентина Первых;realtor;https://krasnodar.cian.ru/rent/flat/307711657/;Краснодар;rent;flat;3;6;1;25;20000;0;2012;5;мкр. РИП;переулок Топольковый;13;
ID 95564033;homeowner;https://krasnodar.cian.ru/rent/flat/307358865/;Краснодар;rent;flat;2;2;1;35;21000;0;-1;5;Прикубанский;Глубинный переулок;28;
Любовь Гришина;realtor;https://krasnodar.cian.ru/rent/flat/307962521/;Краснодар;rent;flat;6;16;1;22;20000;0;2023;10;Прикубанский; Ивана Беличенко;92к3;
ID 122724459;realtor;https://krasnodar.cian.ru/rent/flat/308187573/;Краснодар;rent;flat;4;16;1;22.6;20000;0;2023;-1;Прикубанский; Ивана Беличенко;90к1;
ID 118692096;homeowner;https://krasnodar.cian.ru/rent/flat/304268881/;Краснодар;rent;flat;9;17;1;27;22000;0;2020;-1;мкр. Славянский; Заполярная;37к4;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/308171102/;Краснодар;rent;flat;16;16;1;27;24500;0;2021;-1;Прикубанский; Западный обход;39/2к6;
Светлана Яркина;realtor;https://krasnodar.cian.ru/rent/flat/298482789/;Краснодар;rent;flat;3;16;1;23;20000;0;2023;5;Прикубанский; Ивана Беличенко;95к1;
ID 85745837;homeowner;https://krasnodar.cian.ru/rent/flat/308187277/;Краснодар;rent;flat;6;19;1;29;17000;0;2018;-1;Прикубанский; Имени 40-летия Победы;184к3;
Краснодар Недвижимость;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307993677/;Краснодар;rent;flat;10;16;1;29;25000;0;2023;5;Прикубанский; Константина Гондаря;99;
ID 92446487;realtor;https://krasnodar.cian.ru/rent/flat/307807829/;Краснодар;rent;flat;1;1;1;30;20000;0;-1;-1;Дубинка мкр;проезд 1-й Стасова;15;
ID 92772926;homeowner;https://krasnodar.cian.ru/rent/flat/297860897/;Краснодар;rent;flat;4;6;1;29.8;20000;0;2022;5;Новознаменский жилрайон; Войсковая;4к12;
ID 65777133;realtor;https://krasnodar.cian.ru/rent/flat/307646237/;Краснодар;rent;flat;4;19;1;20;18000;0;2018;10;Имени Демьяна Бедного жилмассив; Степная;1/1к3;
ID 90714156;realtor;https://krasnodar.cian.ru/rent/flat/307761956/;Краснодар;rent;flat;3;17;1;24;22000;0;2021;-1;мкр. Горхутор; Имени Дзержинского;110А;
ID 89508756;unknown;https://krasnodar.cian.ru/rent/flat/308052786/;Краснодар;rent;flat;1;5;1;24;26000;0;-1;-1;Центральный; Костылева;48;
Аренда ЭТАЖИ-Краснодар;real_estate_agent;https://krasnodar.cian.ru/rent/flat/308171256/;Краснодар;rent;flat;20;24;1;25;22000;0;2020;-1;мкр. Пашковский; Леонида Лаврова;4;
ID 122724459;realtor;https://krasnodar.cian.ru/rent/flat/308187625/;Краснодар;rent;flat;8;16;1;24;25000;0;2023;-1;Прикубанский; Ивана Беличенко;90к1;
ID 122543090;homeowner;https://krasnodar.cian.ru/rent/flat/308105411/;Краснодар;rent;flat;8;24;1;28.2;35000;0;2023;-1;Центральный;Обрывная ;132/1к1;
ПИК-Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307935187/;Краснодар;rent;flat;14;16;1;22.4;26500;0;2021;4;Прикубанский; Западный обход;39;
Девелопмент-Юг;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307393321/;Краснодар;rent;flat;9;19;1;27;12000;0;2024;-1;Прикубанский; Наставников;12к1;
ID 73366172;realtor;https://krasnodar.cian.ru/rent/flat/307665618/;Краснодар;rent;flat;9;16;1;25;24000;0;-1;-1;Прикубанский; Ивана Беличенко;103;
ID 96453234;unknown;https://krasnodar.cian.ru/rent/flat/306148906/;Краснодар;rent;flat;2;3;1;25;16000;0;2017;-1;мкр. РИП;Ростовское шоссе;30Вк3;
Татьяна Молозина;realtor;https://krasnodar.cian.ru/rent/flat/308154392/;Краснодар;rent;flat;3;16;1;30;30000;0;2023;-1;Прикубанский; Ивана Беличенко;92;
ID 122072248;homeowner;https://krasnodar.cian.ru/rent/flat/307629798/;Краснодар;rent;flat;12;16;1;26.3;18000;0;2023;-1;Прикубанский; Ивана Беличенко;90;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/308153680/;Краснодар;rent;flat;13;24;1;30;29500;0;2022;-1;Прикубанский; Имени Героя Георгия Бочарникова;4к1;
Самолет Плюс;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307585122/;Краснодар;rent;flat;15;16;1;24;19000;0;-1;-1;Прикубанский; Ивана Беличенко;103;
ID 27639865;homeowner;https://krasnodar.cian.ru/rent/flat/307965327/;Краснодар;rent;flat;4;12;1;40;32000;0;2013;15;мкр. Черемушки; Селезнева;04.май;
ID 122499284;realtor;https://krasnodar.cian.ru/rent/flat/308055576/;Краснодар;rent;flat;2;18;1;30;20000;0;2022;-1;;;;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/308179938/;Краснодар;rent;flat;5;16;1;24;35500;0;2023;-1;Прикубанский; Константина Гондаря;103;
ID 29466641;homeowner;https://krasnodar.cian.ru/rent/flat/305636614/;Краснодар;rent;flat;1;16;1;25.5;20000;0;2023;-1;Прикубанский; Генерал-лейтенанта Александра Сапрунова;37к1;
ID 94025399;realtor;https://krasnodar.cian.ru/rent/flat/307797943/;Краснодар;rent;flat;13;16;1;25;19000;0;2023;-1;Прикубанский; Западный обход;39/1к6;
ID 19408855;unknown;https://krasnodar.cian.ru/rent/flat/305944179/;Краснодар;rent;flat;4;16;1;23;22000;0;2022;-1;Прикубанский; Имени 75-летия Победы;26/1к1;
ID 120509511;official_representative;https://krasnodar.cian.ru/rent/flat/308120152/;Краснодар;rent;flat;2;16;1;24;20000;0;2023;-1;Прикубанский; Ивана Беличенко;97;
Аренда ЭТАЖИ-Краснодар;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307186712/;Краснодар;rent;flat;15;17;1;24;23000;0;2021;-1;Прикубанский; Командорская;6к1;
ID 10290874;realtor;https://krasnodar.cian.ru/rent/flat/305853202/;Краснодар;rent;flat;9;22;1;25;25000;0;2021;-1;Прикубанский; Героя Пешкова;14к2;
ID 23344115;homeowner;https://krasnodar.cian.ru/rent/flat/307722959/;Краснодар;rent;flat;10;19;1;26;25000;0;2016;21;мкр. Панорама; Им. Героя Сарабеева В.И.;3;
Татьяна Третяк;realtor;https://krasnodar.cian.ru/rent/flat/306600950/;Краснодар;rent;flat;6;9;1;25;22000;0;2016;-1;Прикубанский; Западный обход;42к2;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307920231/;Краснодар;rent;flat;9;9;1;23;21000;0;2016;-1;Прикубанский; Западный обход;42к6;
ID 14040188;homeowner;https://krasnodar.cian.ru/rent/flat/307504954/;Краснодар;rent;flat;6;8;1;32;23000;0;-1;7;мкр. Новознаменский; Войсковая;;
ID 120958223;realtor;https://krasnodar.cian.ru/rent/flat/306445958/;Краснодар;rent;flat;15;16;1;25;20000;0;2022;-1;Прикубанский; Имени Героя Ростовского;8;
Аренда ЭТАЖИ-Краснодар;real_estate_agent;https://krasnodar.cian.ru/rent/flat/308171242/;Краснодар;rent;flat;14;23;1;44.3;40000;0;2021;-1;мкр. ХБК;Сормовская ;1/3к1;
ID 43879602;homeowner;https://krasnodar.cian.ru/rent/flat/305636825/;Краснодар;rent;flat;7;9;1;29;18000;0;2023;10;Прикубанский; Имени Генерала Корнилова;9к2;
Домклик Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307891889/;Краснодар;rent;flat;3;12;1;24.9;22000;0;2022;-1;Прикубанский; Питерская;40к4;
